Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","37","Central African Republic","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","13","S","Standardized data"
"FBS","New Food Balances","37","Central African Republic","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","90","S","Standardized data"
"FBS","New Food Balances","37","Central African Republic","5511","Production","2516","Oats","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","37","Central African Republic","5511","Production","2517","Millet and products","2017","2017","1000 tonnes","10","S","Standardized data"
"FBS","New Food Balances","37","Central African Republic","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","30","S","Standardized data"
"FBS","New Food Balances","39","Chad","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","2","S","Standardized data"
"FBS","New Food Balances","39","Chad","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","264","S","Standardized data"
"FBS","New Food Balances","39","Chad","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","39","Chad","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","397","S","Standardized data"
"FBS","New Food Balances","39","Chad","5511","Production","2515","Rye and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","39","Chad","5511","Production","2516","Oats","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","39","Chad","5511","Production","2517","Millet and products","2017","2017","1000 tonnes","660","S","Standardized data"
"FBS","New Food Balances","39","Chad","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","946","S","Standardized data"
"FBS","New Food Balances","39","Chad","5511","Production","2520","Cereals, Other","2017","2017","1000 tonnes","449","S","Standardized data"
"FBS","New Food Balances","40","Chile","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","1349","S","Standardized data"
"FBS","New Food Balances","40","Chile","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","128","S","Standardized data"
"FBS","New Food Balances","40","Chile","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","95","S","Standardized data"
"FBS","New Food Balances","40","Chile","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","1063","S","Standardized data"
"FBS","New Food Balances","40","Chile","5511","Production","2515","Rye and products","2017","2017","1000 tonnes","4","S","Standardized data"
"FBS","New Food Balances","40","Chile","5511","Production","2516","Oats","2017","2017","1000 tonnes","713","S","Standardized data"
"FBS","New Food Balances","40","Chile","5511","Production","2520","Cereals, Other","2017","2017","1000 tonnes","119","S","Standardized data"
"FBS","New Food Balances","351","China","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","134435","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","214430","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","351","China","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","1897","A","Aggregate, may include official, semi-official, estimated or calculated data"
